device_name,device_type,ip_address,gateway
1C-RIO-SDT-03A-1,1210,10.1.102.38,
1C-RIO-SDT-03A-2,1210,10.1.102.39,
1C-RIO-SDT-03A-3,1210,10.1.102.40,
1C-RIO-SDT-03A-4,1210,10.1.102.41,
1C-RIO-SDT-04A-1,1210,10.1.102.42,
1C-RIO-SDT-04A-2,1210,10.1.102.43,
1C-RIO-SDT-04A-3,1210,10.1.102.44,
1C-RIO-SDT-04A-4,1210,10.1.102.45,
1C-RIO-SDT-05A-1,1210,10.1.102.46,
1C-RIO-SDT-05A-2,1210,10.1.102.47,
1C-RIO-SDT-05A-3,1210,10.1.102.48,
1C-RIO-SDT-05A-4,1210,10.1.102.49,
1C-RIO-SDT-06A-1,1210,10.1.106.30,
1C-RIO-SDT-06A-2,1210,10.1.106.31,
1C-RIO-SDT-06A-3,1210,10.1.106.32,
1C-RIO-SDT-06A-4,1210,10.1.106.33,
1C-RIO-SDT-07A-1,1210,10.1.106.34,
1C-RIO-SDT-07A-2,1210,10.1.106.35,
1C-RIO-SDT-07A-3,1210,10.1.106.36,
1C-RIO-SDT-07A-4,1210,10.1.106.37,
1C-RIO-SDT-08A-1,1210,10.1.106.38,
1C-RIO-SDT-08A-2,1210,10.1.106.39,
1C-RIO-SDT-08A-3,1210,10.1.106.40,
1C-RIO-SDT-08A-4,1210,10.1.106.41,
1C-RIO-SDT-09A-1,1210,10.1.106.42,
1C-RIO-SDT-09A-2,1210,10.1.106.43,
1C-RIO-SDT-09A-3,1210,10.1.106.44,
1C-RIO-SDT-09A-4,1210,10.1.106.45,
1C-RIO-SDT-10A-1,1210,10.1.106.46,
1C-RIO-SDT-10A-2,1210,10.1.106.47,
1C-RIO-SDT-10A-3,1210,10.1.106.48,
1C-RIO-SDT-10A-4,1210,10.1.106.49,
1C-RIO-SDT-11A-1,1210,10.1.108.30,
1C-RIO-SDT-11A-2,1210,10.1.108.31,
1C-RIO-SDT-11A-3,1210,10.1.108.32,
1C-RIO-SDT-11A-4,1210,10.1.108.33,
1C-RIO-SDT-12A-1,1210,10.1.108.34,
1C-RIO-SDT-12A-2,1210,10.1.108.35,
1C-RIO-SDT-12A-3,1210,10.1.108.36,
1C-RIO-SDT-12A-4,1210,10.1.108.37,
1C-RIO-SDT-13A-1,1210,10.1.108.38,
1C-RIO-SDT-13A-2,1210,10.1.108.39,
1C-RIO-SDT-13A-3,1210,10.1.108.40,
1C-RIO-SDT-13A-4,1210,10.1.108.41,
1D-RIO-SDT-01A-1,1210,10.1.127.30,
1D-RIO-SDT-01A-2,1210,10.1.127.31,
1D-RIO-SDT-01A-3,1210,10.1.127.32,
1D-RIO-SDT-01A-4,1210,10.1.127.33,
1D-RIO-SDT-02A-1,1210,10.1.127.34,
1D-RIO-SDT-02A-2,1210,10.1.127.35,
1D-RIO-SDT-02A-3,1210,10.1.127.36,
1D-RIO-SDT-02A-4,1210,10.1.127.37,
1D-RIO-SDT-03A-1,1210,10.1.127.38,
1D-RIO-SDT-03A-2,1210,10.1.127.39,
1D-RIO-SDT-03A-3,1210,10.1.127.40,
1D-RIO-SDT-03A-4,1210,10.1.127.41,
1D-RIO-SDT-04A-1,1210,10.1.127.42,
1D-RIO-SDT-04A-2,1210,10.1.127.43,
1D-RIO-SDT-04A-3,1210,10.1.127.44,
1D-RIO-SDT-04A-4,1210,10.1.127.45,
1D-RIO-SDT-05A-1,1210,10.1.127.46,
1D-RIO-SDT-05A-2,1210,10.1.127.47,
1D-RIO-SDT-05A-3,1210,10.1.127.48,
1D-RIO-SDT-05A-4,1210,10.1.127.49,
1D-RIO-SDT-06A-1,1210,10.1.129.30,
1D-RIO-SDT-06A-2,1210,10.1.129.31,
1D-RIO-SDT-06A-3,1210,10.1.129.32,
1D-RIO-SDT-06A-4,1210,10.1.129.33,
1D-RIO-SDT-07A-1,1210,10.1.129.34,
1D-RIO-SDT-07A-2,1210,10.1.129.35,
1D-RIO-SDT-07A-3,1210,10.1.129.36,
1D-RIO-SDT-07A-4,1210,10.1.129.37,
1D-RIO-SDT-08A-1,1210,10.1.129.38,
1D-RIO-SDT-08A-2,1210,10.1.129.39,
1D-RIO-SDT-08A-3,1210,10.1.129.40,
1D-RIO-SDT-08A-4,1210,10.1.129.41,
1D-RIO-SDT-09A-1,1210,10.1.129.42,
1D-RIO-SDT-09A-2,1210,10.1.129.43,
